nama_variabel,nama_tahun,nama_wilayah,data_content
Index Kedalaman Kemiskinan,2023,ACEH,2.76
Index Kedalaman Kemiskinan,2023,Simeulue,3.26
Index Kedalaman Kemiskinan,2023,Aceh Singkil,2.99
Index Kedalaman Kemiskinan,2023,Aceh Selatan,1.85
Index Kedalaman Kemiskinan,2023,Aceh Tenggara,1.59
Index Kedalaman Kemiskinan,2023,Aceh Timur,2.43
Index Kedalaman Kemiskinan,2023,Aceh Tengah,2.21
Index Kedalaman Kemiskinan,2023,Aceh Barat,2.47
Index Kedalaman Kemiskinan,2023,Aceh Besar,2
Index Kedalaman Kemiskinan,2023,Pidie,4.09
Index Kedalaman Kemiskinan,2023,Bireuen,1.9
Index Kedalaman Kemiskinan,2023,Aceh Utara,2.16
Index Kedalaman Kemiskinan,2023,Aceh Barat Daya,3.15
Index Kedalaman Kemiskinan,2023,Gayo Lues,3.13
Index Kedalaman Kemiskinan,2023,Aceh Tamiang,1.94
Index Kedalaman Kemiskinan,2023,Nagan Raya,3.12
Index Kedalaman Kemiskinan,2023,Aceh Jaya,2.22
Index Kedalaman Kemiskinan,2023,Bener Meriah,3.16
Index Kedalaman Kemiskinan,2023,Pidie Jaya,2.81
Index Kedalaman Kemiskinan,2023,Kota Banda Aceh,0.8
Index Kedalaman Kemiskinan,2023,Kota Sabang,3.17
Index Kedalaman Kemiskinan,2023,Kota Langsa,1.87
Index Kedalaman Kemiskinan,2023,Kota Lhokseumawe,2.23
Index Kedalaman Kemiskinan,2023,Kota Subulussalam,2.19
Index Kedalaman Kemiskinan,2023,SUMATERA UTARA,1.26
Index Kedalaman Kemiskinan,2023,Nias,1.95
Index Kedalaman Kemiskinan,2023,Mandailing Natal,1.48
Index Kedalaman Kemiskinan,2023,Tapanuli Selatan,0.92
Index Kedalaman Kemiskinan,2023,Tapanuli Tengah,1.58
Index Kedalaman Kemiskinan,2023,Tapanuli Utara,0.94
Index Kedalaman Kemiskinan,2023,Toba Samosir,1.02
Index Kedalaman Kemiskinan,2023,Labuhan Batu,1.4
Index Kedalaman Kemiskinan,2023,Asahan,0.77
Index Kedalaman Kemiskinan,2023,Simalungun,1
Index Kedalaman Kemiskinan,2023,Dairi,0.93
Index Kedalaman Kemiskinan,2023,Karo,1.17
Index Kedalaman Kemiskinan,2023,Deli Serdang,0.34
Index Kedalaman Kemiskinan,2023,Langkat,2.22
Index Kedalaman Kemiskinan,2023,Nias Selatan,3.04
Index Kedalaman Kemiskinan,2023,Humbang Hasundutan,0.99
Index Kedalaman Kemiskinan,2023,Pakpak Bharat,0.49
Index Kedalaman Kemiskinan,2023,Samosir,1.87
Index Kedalaman Kemiskinan,2023,Serdang Bedagai,0.89
Index Kedalaman Kemiskinan,2023,Batu Bara,1.51
Index Kedalaman Kemiskinan,2023,Padang Lawas Utara,1.14
Index Kedalaman Kemiskinan,2023,Padang Lawas,1.44
Index Kedalaman Kemiskinan,2023,Labuhan Batu Selatan,0.94
Index Kedalaman Kemiskinan,2023,Labuhan Batu Utara,1.19
Index Kedalaman Kemiskinan,2023,Nias Utara,2.52
Index Kedalaman Kemiskinan,2023,Nias Barat,2.08
Index Kedalaman Kemiskinan,2023,Kota Sibolga,1.49
Index Kedalaman Kemiskinan,2023,Kota Tanjung Balai,1.34
Index Kedalaman Kemiskinan,2023,Kota Pematang Siantar,1
